  -0.49999999E+001   0.86837704E+002
  -0.49699999E+001   0.86304391E+002
  -0.49399999E+001   0.85784676E+002
  -0.49099999E+001   0.85278104E+002
  -0.48799999E+001   0.84784243E+002
  -0.48499999E+001   0.84302687E+002
  -0.48199999E+001   0.83833048E+002
  -0.47899999E+001   0.83374961E+002
  -0.47599999E+001   0.82928080E+002
  -0.47299999E+001   0.82492075E+002
  -0.46999999E+001   0.82066633E+002
  -0.46699999E+001   0.81651455E+002
  -0.46399999E+001   0.81246258E+002
  -0.46099999E+001   0.80850769E+002
  -0.45799999E+001   0.80464727E+002
  -0.45499999E+001   0.80087883E+002
  -0.45199999E+001   0.79719996E+002
  -0.44899999E+001   0.79360837E+002
  -0.44599999E+001   0.79010183E+002
  -0.44299999E+001   0.78667821E+002
  -0.43999999E+001   0.78333549E+002
  -0.43699999E+001   0.78007169E+002
  -0.43399999E+001   0.77688494E+002
  -0.43099999E+001   0.77377345E+002
  -0.42799999E+001   0.77073550E+002
  -0.42499999E+001   0.76776947E+002
  -0.42199999E+001   0.76487382E+002
  -0.41899999E+001   0.76204709E+002
  -0.41599999E+001   0.75928789E+002
  -0.41299999E+001   0.75659496E+002
  -0.40999999E+001   0.75396710E+002
  -0.40699999E+001   0.75140324E+002
  -0.40399999E+001   0.74890242E+002
  -0.40099999E+001   0.74646388E+002
  -0.39799999E+001   0.74408709E+002
  -0.39499999E+001   0.74177188E+002
  -0.39199999E+001   0.73951878E+002
  -0.38899999E+001   0.73733013E+002
  -0.38599999E+001   0.73520860E+002
  -0.38299999E+001   0.73316744E+002
  -0.37999999E+001   0.73123677E+002
  -0.37699999E+001   0.72952289E+002
  -0.37399999E+001   0.72860142E+002
  -0.37099999E+001   0.74130773E+002
  -0.36799999E+001   0.26315790E+003
  -0.36499999E+001   0.19032252E+003
  -0.36199999E+001   0.16523954E+003
  -0.35899999E+001   0.15148822E+003
  -0.35599999E+001   0.14249201E+003
  -0.35299999E+001   0.13601529E+003
  -0.34999999E+001   0.13106180E+003
  -0.34699999E+001   0.12711178E+003
  -0.34399999E+001   0.12386420E+003
  -0.34099999E+001   0.12113114E+003
  -0.33799999E+001   0.11878845E+003
  -0.33499999E+001   0.11675042E+003
  -0.33199999E+001   0.11495575E+003
  -0.32899999E+001   0.11335925E+003
  -0.32599999E+001   0.11192683E+003
  -0.32299999E+001   0.11063218E+003
  -0.31999999E+001   0.10945468E+003
  -0.31699999E+001   0.10837787E+003
  -0.31399999E+001   0.10738845E+003
  -0.31099999E+001   0.10647554E+003
  -0.30799999E+001   0.10563014E+003
  -0.30499999E+001   0.10484473E+003
  -0.30199999E+001   0.10411298E+003
  -0.29899999E+001   0.10342950E+003
  -0.29599999E+001   0.10278971E+003
  -0.29299999E+001   0.10218963E+003
  -0.28999999E+001   0.10162583E+003
  -0.28699999E+001   0.10109533E+003
  -0.28399999E+001   0.10059550E+003
  -0.28099999E+001   0.10012406E+003
  -0.27799999E+001   0.99678968E+002
  -0.27499999E+001   0.99258425E+002
  -0.27199999E+001   0.98860831E+002
  -0.26899999E+001   0.98484760E+002
  -0.26599999E+001   0.98128934E+002
  -0.26299999E+001   0.97792210E+002
  -0.25999999E+001   0.97473557E+002
  -0.25699999E+001   0.97172049E+002
  -0.25399999E+001   0.96886848E+002
  -0.25099999E+001   0.96617200E+002
  -0.24799999E+001   0.96362420E+002
  -0.24499999E+001   0.96121888E+002
  -0.24199999E+001   0.95895041E+002
  -0.23899999E+001   0.95681369E+002
  -0.23599999E+001   0.95480408E+002
  -0.23299999E+001   0.95291736E+002
  -0.22999999E+001   0.95114971E+002
  -0.22699999E+001   0.94949765E+002
  -0.22399999E+001   0.94795800E+002
  -0.22099999E+001   0.94652791E+002
  -0.21799999E+001   0.94520476E+002
  -0.21499999E+001   0.94398621E+002
  -0.21199999E+001   0.94287013E+002
  -0.20899999E+001   0.94185463E+002
  -0.20599999E+001   0.94093800E+002
  -0.20299999E+001   0.94011872E+002
  -0.19999999E+001   0.93939547E+002
  -0.19700000E+001   0.93876710E+002
  -0.19400000E+001   0.93823260E+002
  -0.19100000E+001   0.93779115E+002
  -0.18800000E+001   0.93744209E+002
  -0.18500000E+001   0.93718487E+002
  -0.18200000E+001   0.93701913E+002
  -0.17900000E+001   0.93694464E+002
  -0.17600000E+001   0.93696130E+002
  -0.17300000E+001   0.93706917E+002
  -0.17000000E+001   0.93726842E+002
  -0.16700000E+001   0.93755938E+002
  -0.16400000E+001   0.93794249E+002
  -0.16100000E+001   0.93841835E+002
  -0.15800000E+001   0.93898766E+002
  -0.15500000E+001   0.93965126E+002
  -0.15200000E+001   0.94041012E+002
  -0.14900000E+001   0.94126534E+002
  -0.14600000E+001   0.94221815E+002
  -0.14300000E+001   0.94326991E+002
  -0.14000000E+001   0.94442211E+002
  -0.13700000E+001   0.94567638E+002
  -0.13400000E+001   0.94703448E+002
  -0.13100000E+001   0.94849835E+002
  -0.12800000E+001   0.95007006E+002
  -0.12500000E+001   0.95175184E+002
  -0.12200000E+001   0.95354611E+002
  -0.11900000E+001   0.95545546E+002
  -0.11600000E+001   0.95748269E+002
  -0.11300000E+001   0.95963080E+002
  -0.11000000E+001   0.96190302E+002
  -0.10700000E+001   0.96430282E+002
  -0.10400000E+001   0.96683393E+002
  -0.10100000E+001   0.96950035E+002
  -0.97999998E+000   0.97230638E+002
  -0.94999998E+000   0.97525663E+002
  -0.91999998E+000   0.97835604E+002
  -0.88999998E+000   0.98160989E+002
  -0.85999998E+000   0.98502378E+002
  -0.82999998E+000   0.98860352E+002
